하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,All
26,종로5가.광장시장,1019,10,16,11,9,5,6,,7,11,12,14,14,7,1,9,7,13,10,13,18,30,17,13,17,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
27,종로6가.동대문종합시장,1021,7,4,9,,6,1,2,6,3,2,7,7,5,4,12,6,13,5,11,13,16,16,13,9,10,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
28,동대문역.흥인지문,1023,5,3,13,2,4,3,4,6,3,2,14,14,10,4,11,5,7,5,13,20,29,23,16,19,8,18,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291
29,숭인동,1262,4,2,,,3,2,2,4,3,1,2,11,5,1,10,1,4,2,11,11,23,11,10,19,12,16,21,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206
30,동대문우체국.서울풍물시장,6163,,,3,,1,1,1,1,1,,3,9,4,2,3,3,3,6,11,17,18,11,11,23,5,11,21,42,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241
31,용두동신동아아파트,6162,,3,1,,1,1,,,1,1,6,3,8,2,6,2,3,3,17,14,15,23,13,12,7,15,29,49,19,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
32,용두역,6161,1,2,,,3,1,,,,,1,1,,1,2,2,2,1,2,3,3,11,12,17,3,11,15,16,8,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
33,동대문구청,6017,,,1,,,1,,,,,,2,3,1,3,,1,3,1,7,4,13,9,10,2,7,18,25,12,18,9,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
34,신답초등학교.청계한신휴플러스,6004,1,,1,1,,1,,2,1,,1,1,1,1,2,,1,1,4,3,4,10,13,8,1,11,10,24,6,19,10,5,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
35,답십리역사거리,4001,,4,2,,1,1,,1,1,4,8,4,11,6,17,12,10,7,9,19,13,28,30,20,20,33,48,58,22,75,41,16,29,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586
36,청년회의소.서울새활용플라자,4002,1,1,,,,3,1,1,,1,3,6,8,2,2,4,1,2,4,8,3,12,14,10,4,21,25,35,24,42,15,4,21,14,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318
37,장한평역,4003,,1,1,1,,1,,2,,,2,6,6,2,,,,1,2,12,7,15,10,12,5,16,46,34,28,47,16,9,17,8,36,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359
38,군자교입구,5002,,2,1,,1,,,,1,,1,1,4,2,1,1,2,,5,10,9,18,14,13,11,23,32,30,14,32,7,5,14,9,33,19,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344
39,능동사거리.군자역,5253,,,,1,1,,,1,,1,1,4,5,,1,1,2,1,3,6,6,14,14,10,7,15,31,27,19,49,26,18,26,24,42,54,70,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530
40,능동교회앞,5252,1,,,,1,,,,,1,4,1,1,,,,1,,1,4,7,4,12,4,,4,6,15,6,27,10,5,6,7,17,10,21,10,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
41,어린이대공원앞.세종대학교,5251,1,1,,,,2,1,3,,1,,3,,,4,,,,2,2,5,4,2,6,3,8,3,21,10,59,10,5,17,4,18,21,29,20,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
42,어린이대공원역.화양천주교회,5227,,,,1,,,,,,1,1,3,5,,,,,,,5,11,13,10,13,3,8,17,14,5,34,6,2,18,8,27,17,43,14,26,13,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325
43,한아름공원,5228,,,,,,,,,,,2,,1,,1,1,,,1,2,4,3,1,7,1,6,4,10,6,6,7,2,8,5,22,23,30,20,38,11,18,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
44,건대입구역사거리.건대병원,5229,,,,,,,,,,,3,,1,,,,2,2,2,2,5,4,7,4,2,7,5,18,4,6,6,3,19,6,32,33,58,30,28,42,31,28,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403
45,건대로데오거리입구,5218,,,,,,,,,,,,,,,1,,1,,,2,,8,2,6,1,7,3,6,7,6,3,,4,6,20,22,24,13,22,13,14,14,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
46,대동아파트앞,5214,,,,,,,,,,,,1,1,,1,,,1,,2,,4,3,,2,4,5,4,5,5,3,1,5,4,15,12,14,8,12,7,10,8,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
47,뚝도변전소앞,5203,1,,,1,,,,,,,,1,,,,,,,1,2,1,3,3,,1,7,4,4,3,,3,,5,5,11,12,11,10,11,13,15,11,2,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
48,광진문화예술회관,5204,,,,,,,,,,1,,,,,,,,,,,4,1,1,2,,,1,,,,2,,,1,1,4,,3,3,2,,4,,,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
49,건대입구(가상),5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
50,건대입구역사거리.건대병원,5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,3,4,7,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
51,어린이대공원역.화양천주교회,5234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,11,25,2,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
52,어린이대공원앞,5140,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,15,19,,67,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
53,능동사거리.군자역,5141,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,8,20,43,1,88,23,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
54,군자교입구,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,17,28,2,95,21,21,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
55,장한평역,6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,12,27,27,6,147,31,21,29,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341
56,청년회의소,6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,24,21,3,58,12,21,26,20,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
57,답십리역사거리,6001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,4,22,2,71,28,29,21,24,24,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272
58,신답초등학교.청계한신휴플러스,6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,7,2,19,7,18,9,17,20,21,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
59,동대문구청,6006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,,20,16,16,18,22,43,30,42,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248
60,서울시동부병원,6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,12,3,13,21,29,16,18,22,42,42,14,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287
61,신설동역.서울풍물시장,6008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,2,23,16,2,56,54,55,23,46,46,41,62,32,42,47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555
62,동묘앞,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,10,,18,14,21,17,32,31,31,36,22,38,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,334
63,동대문역.흥인지문,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,3,7,,12,6,14,10,41,25,42,46,31,22,63,23,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,363
64,종로6가.동대문종합시장,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,7,,12,15,13,16,47,36,55,27,16,23,45,29,13,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,385
65,종로5가.광장시장,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,7,,14,8,17,11,34,15,14,33,14,17,19,11,10,24,19,3,,,,,,,,,,,,,,,,,,,,,,,,,277
66,종로4가.종묘,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11,1,7,8,10,4,9,9,13,9,13,12,10,5,12,19,15,20,4,,,,,,,,,,,,,,,,,,,,,,,,193
67,종로3가.탑골공원,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,4,1,5,11,6,7,14,16,12,28,11,11,22,8,12,13,22,26,2,3,,,,,,,,,,,,,,,,,,,,,,,237
68,종로2가,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,,7,9,8,10,22,14,16,21,18,12,9,8,9,16,11,22,4,7,2,,,,,,,,,,,,,,,,,,,,,,232
69,종로1가,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,4,6,4,,7,10,9,10,15,13,12,15,9,12,22,12,12,17,11,14,7,10,9,2,,,,,,,,,,,,,,,,,,,,,244
70,광화문,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,7,,4,6,12,3,10,10,6,6,5,10,11,9,13,15,13,34,7,13,19,16,1,,,,,,,,,,,,,,,,,,,,238
71,서울역사박물관.경희궁앞,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,,3,3,3,6,7,5,6,6,10,14,11,5,2,4,8,16,4,12,17,32,20,9,,,,,,,,,,,,,,,,,,,213
72,서대문역사거리,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,3,5,9,2,1,3,6,2,5,4,10,,6,9,8,14,4,16,26,29,15,6,8,,,,,,,,,,,,,,,,,,197
73,충정로역,13046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,1,3,1,2,4,3,5,3,10,9,3,1,6,17,26,15,22,34,2,,,,,,,,,,,,,,,,,172
74,아현역,13044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,1,,5,1,6,9,8,6,14,20,24,3,27,19,43,42,47,56,15,1,,,,,,,,,,,,,,,,356
75,웨딩타운,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,1,2,7,3,3,3,2,5,15,12,21,11,22,8,4,2,,,,,,,,,,,,,,,127
76,이대역,13025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,3,1,4,6,2,6,2,3,6,6,5,3,11,7,4,18,35,25,19,35,27,13,13,13,4,,,,,,,,,,,,,,275
77,신촌오거리.2호선신촌역,13023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,3,,,1,8,1,5,3,2,3,3,7,4,6,16,9,13,18,22,27,12,24,15,7,11,5,2,,,,,,,,,,,,,233
78,신촌오거리.현대백화점,13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,6,2,5,3,2,11,4,2,5,3,7,14,4,8,18,18,20,16,24,12,13,14,7,3,6,,,,,,,,,,,,234
79,동교동삼거리,13019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,4,2,1,6,3,2,3,2,2,7,5,5,6,11,23,12,16,10,15,8,21,12,6,29,23,4,,,,,,,,,,,247
80,연희동대우아파트,13147,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,5,4,2,11,5,8,9,4,23,16,19,31,20,7,24,48,8,23,27,52,15,,,,,,,,,,,381
81,연희104고지앞.구성산회관,13111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,4,3,1,,,1,1,,3,1,7,5,2,2,6,9,5,2,4,9,15,2,5,8,21,9,19,1,,,,,,,,,149
82,사천교,13109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,2,4,1,1,,2,,1,3,6,13,5,4,12,12,8,6,12,1,5,17,4,8,10,32,9,14,8,5,,,,,,,,209
83,모래내시장.가좌역,13107,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,1,1,1,,,,,3,1,2,5,5,2,8,10,5,4,7,4,3,8,5,,5,29,3,7,16,3,2,,,,,,,145
84,삼성래미안2차아파트,13181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,,2,5,2,2,6,,3,6,18,8,7,8,7,10,5,4,7,37,8,8,22,23,10,3,,,,,,216
85,DMC.파크뷰자이,13339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,1,3,2,4,6,5,5,5,2,9,21,15,13,12,17,8,23,5,5,11,66,8,12,18,35,62,1,2,,,,,381
86,DMC센트레빌아파트,13188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,,2,,,1,1,5,5,10,5,1,13,20,22,18,7,15,7,25,2,13,17,61,9,17,28,54,61,8,4,,,,,438
87,북가좌삼호.DMC아이파크아파트,13186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,1,,,1,,2,2,6,7,1,7,7,5,7,4,2,6,17,,6,12,24,6,17,17,26,31,2,2,1,1,,,224
88,모래내우체국.증가교회,13184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,2,3,3,5,,2,10,4,2,2,13,7,13,4,7,5,25,4,10,6,21,16,8,2,8,3,,,189
89,북가좌초교사거리,13264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,1,1,1,2,2,5,7,10,8,5,8,8,10,7,4,6,11,15,3,10,15,39,11,8,10,23,31,9,12,22,3,2,,314
90,북가좌2동주민센터,13174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,2,,2,2,,2,,5,6,10,17,10,4,15,23,24,27,14,16,13,15,8,13,19,46,15,13,6,30,26,14,9,22,5,11,5,452
All,,,247,478,490,325,591,363,121,207,129,120,420,339,281,144,255,181,214,122,186,297,324,301,246,247,117,270,372,449,208,503,194,78,209,130,310,240,332,155,225,107,93,78,22,21,54,111,205,312,25,780,337,379,267,464,386,409,444,233,297,362,187,182,236,260,291,86,251,357,376,324,259,303,173,265,98,116,170,461,101,125,132,220,239,45,31,53,12,13,5,21177
