하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,93,All
24,새밭교회,5009,,,,3,2,3,10,2,1,3,3,2,7,9,6,18,4,9,18,26,30,64,72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297
25,어린이대공원후문아차산역,5006,,,1,2,3,4,7,2,2,5,1,2,12,13,18,19,4,11,22,23,38,70,105,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372
26,중곡동입구삼거리,5005,,,,1,3,3,3,3,3,3,,2,2,11,24,6,3,9,9,7,18,39,55,10,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
27,군자역.용마초등학교,5003,1,,,1,5,4,7,5,6,,3,1,8,30,49,23,4,15,14,18,19,45,46,20,11,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362
28,군자교입구,5001,1,,,1,1,3,2,1,,4,,1,8,13,14,12,7,8,15,11,17,39,35,13,20,22,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
29,장한평역,6003,,,1,1,,6,4,,,3,2,,3,9,15,14,4,8,17,19,21,33,35,7,22,26,23,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298
30,청년회의소,6002,,,,2,4,3,,3,2,1,,2,6,6,16,17,2,10,9,13,16,22,21,4,15,17,16,12,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249
31,답십리역사거리,6001,,,,2,1,2,2,1,,1,,1,2,7,14,10,2,3,15,11,4,14,21,2,13,15,20,12,29,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229
32,신답초등학교.청계한신휴플러스,6005,,,1,2,,2,4,,,2,1,1,3,6,7,6,1,9,3,6,3,19,10,5,18,18,15,11,25,23,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241
33,동대문구청,6006,,,,1,3,5,5,,1,2,,2,7,12,8,8,3,11,9,16,11,17,20,1,22,18,13,20,34,41,50,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357
34,서울시동부병원,6007,,,1,1,4,3,3,2,1,,2,3,6,5,10,8,5,6,11,23,26,36,23,5,26,24,18,16,28,23,52,9,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427
35,신설동역.서울풍물시장,6008,,,,2,3,,3,2,1,2,3,5,5,9,8,7,4,12,23,18,44,82,35,8,42,30,30,54,39,41,65,33,38,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710
36,동묘앞,1044,,,,1,1,4,5,3,,1,1,,3,2,4,7,1,6,6,17,21,32,20,6,31,25,20,15,24,22,49,22,45,54,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477
37,동대문역.흥인지문,1037,,,,1,2,4,3,3,3,,2,3,8,6,3,6,,13,7,24,17,34,17,11,33,22,25,27,27,30,40,24,34,42,26,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512
38,종로6가.동대문종합시장,1022,,1,,2,2,3,4,1,2,2,1,3,3,11,4,9,2,8,15,19,16,39,22,9,36,22,9,28,50,44,44,20,21,34,16,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540
39,종로5가.광장시장,1020,,,2,,4,,1,3,1,,,,8,8,2,7,1,8,8,9,12,9,13,4,13,20,7,15,9,9,21,9,12,14,9,10,22,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
40,종로4가.종묘,1018,,,,,1,3,4,,,,,,2,3,2,3,,4,4,7,6,8,4,3,3,2,6,6,13,8,11,6,10,22,9,7,14,7,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
41,종로3가.탑골공원,1016,,,,,2,3,2,,2,1,3,2,3,5,6,4,4,6,7,7,5,11,5,5,12,17,13,12,12,14,20,12,16,27,8,9,9,20,19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305
42,종로2가,1014,,,,,,1,1,,,1,,,2,5,4,5,2,6,2,5,2,9,6,3,4,13,8,16,12,15,16,16,12,22,13,5,12,17,14,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259
43,종로1가,1012,,,1,1,,3,1,2,2,1,,3,4,2,4,4,,8,6,4,4,8,7,1,7,5,5,7,10,13,19,12,18,24,11,12,12,16,17,6,13,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289
44,광화문,1010,,,,1,,1,,1,,,1,,3,2,2,3,1,5,3,4,4,6,2,5,5,4,3,5,5,7,9,8,10,14,9,9,18,10,14,7,8,17,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223
45,서울역사박물관.경희궁앞,1008,,1,,1,,,,1,,,,,,1,,1,1,4,5,5,4,2,5,1,5,4,3,3,1,4,5,10,5,8,10,1,7,3,3,2,14,17,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
46,서대문경찰서,13252,,,,,,,1,,,1,1,,,3,1,2,,2,2,1,,1,1,,5,1,4,4,2,1,1,3,2,3,3,9,8,11,6,9,14,31,26,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187
47,한국경제신문사.서소문역사공원,2109,,,,,,,,1,1,,,,,,,,,,,,1,1,,,2,2,1,3,3,1,5,1,3,1,,4,9,6,6,7,14,10,36,42,30,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
48,충정로역2호선,13137,,,,,,,1,,,,,,,,1,,,,1,1,1,1,,1,,1,,1,1,,,,2,,7,2,3,5,10,4,9,14,18,7,21,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148
49,충정로역5호선,13238,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,3,,2,3,,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
50,서대문역사거리,13047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
51,서울역사박물관.경희궁앞,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,23,14,6,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
52,광화문,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,10,11,21,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
53,종로1가,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,9,35,38,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
54,종로2가,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,4,3,24,18,36,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
55,종로3가.탑골공원,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,8,23,32,19,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
56,종로4가.종묘,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,4,12,21,23,20,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
57,종로5가.광장시장,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,5,16,30,37,30,6,19,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163
58,종로6가.동대문종합시장,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,1,18,35,40,29,14,19,10,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
59,동대문역.흥인지문,1023,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,4,24,42,44,32,26,36,15,41,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319
60,숭인동,1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,10,21,17,14,14,23,12,10,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167
61,동대문우체국.서울풍물시장,6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,5,16,13,15,17,17,11,19,32,60,17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254
62,용두동신동아아파트,6162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,19,14,12,27,2,12,38,57,20,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
63,용두역,6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,8,12,5,9,10,13,2,10,13,29,13,24,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183
64,동대문구청,6017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,7,7,17,12,12,4,11,15,25,8,22,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
65,신답초등학교.청계한신휴플러스,6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,6,8,13,12,11,2,8,15,22,8,19,15,6,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
66,답십리역사거리,4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,8,14,12,27,32,25,12,21,29,55,29,84,41,18,32,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,468
67,청년회의소.서울새활용플라자,4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,8,9,18,20,22,2,12,33,32,24,64,14,6,8,10,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,324
68,장한평역,4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,7,17,13,13,8,17,52,32,17,35,11,10,20,10,28,14,9,,,,,,,,,,,,,,,,,,,,,,,,,321
69,군자교입구,5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,4,8,13,15,17,3,25,32,33,17,32,12,10,15,5,32,15,26,1,,,,,,,,,,,,,,,,,,,,,,,,323
70,군자역.용마초등학교,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,4,9,6,11,17,15,10,23,35,31,21,23,15,12,15,6,37,30,34,13,15,,,,,,,,,,,,,,,,,,,,,,,384
71,중곡동입구삼거리,5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,5,9,10,8,,15,21,23,15,17,11,,5,,21,12,26,12,23,2,,,,,,,,,,,,,,,,,,,,,,242
72,어린이대공원후문아차산역,5007,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,5,7,4,12,25,16,4,19,45,42,28,29,18,5,10,5,22,17,38,22,31,7,13,,,,,,,,,,,,,,,,,,,,,428
73,새밭교회,5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,3,5,5,5,1,3,9,13,6,6,7,6,2,2,4,6,8,14,7,24,11,74,19,,,,,,,,,,,,,,,,,,,,243
74,광나루역,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,1,,4,6,3,7,15,8,3,13,18,12,17,37,15,7,10,3,20,25,29,25,57,42,107,44,5,,,,,,,,,,,,,,,,,,,538
75,천호역,25014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,18,16,25,29,39,40,13,51,64,59,44,69,34,25,24,12,27,42,60,39,55,32,90,48,88,8,,,,,,,,,,,,,,,,,,1060
76,강동역,25012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,6,12,9,4,13,13,14,13,31,20,7,8,5,8,11,6,10,21,11,26,11,26,46,10,,,,,,,,,,,,,,,,,349
77,길동사거리.강동세무서,25010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,6,5,5,10,6,11,3,11,15,10,10,16,11,5,9,4,17,13,19,18,29,8,38,17,47,104,70,9,,,,,,,,,,,,,,,,529
78,길동주민센터.둔촌2동주민센터,25008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,6,4,7,4,14,9,14,3,15,4,7,6,1,10,11,9,3,19,4,22,9,23,105,106,12,2,,,,,,,,,,,,,,,437
79,강동자이·프라자아파트,25006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,1,1,3,,2,2,4,4,5,4,4,5,,5,2,4,6,8,,11,2,10,66,55,16,3,,,,,,,,,,,,,,,232
80,초이동,25004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,4,1,4,3,4,,5,2,2,3,,1,6,3,7,11,,10,4,6,24,45,11,16,5,5,,,,,,,,,,,,,187
81,상일초교,25002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,6,6,6,4,5,7,14,9,9,11,6,6,14,4,13,18,10,16,35,4,32,13,21,98,111,40,42,31,6,17,,,,,,,,,,,,617
82,강동첨단업무단지.상일여고입구,25310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,4,4,3,2,6,6,4,5,25,8,3,14,5,13,17,14,19,48,8,15,13,28,119,208,61,33,29,12,47,2,,,,,,,,,,,781
83,고덕리엔파크3단지,25112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,7,2,1,1,7,2,4,6,3,1,3,1,1,1,2,2,3,10,,14,1,7,59,34,16,17,11,7,41,4,1,,,,,,,,,,274
84,강명초등학교,25110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,1,2,,1,1,1,3,3,,3,1,1,3,1,2,,1,1,3,2,6,,7,24,17,13,5,10,2,31,23,10,4,,,,,,,,,188
85,고덕천교차로,25108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,2,,3,3,1,,1,2,2,,,1,,,4,1,6,2,2,16,4,12,12,9,1,34,35,28,7,1,,,,,,,,192
86,해뜨는주유소,25106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,,2,1,,1,1,3,1,1,2,,1,3,1,,3,1,6,,3,17,5,11,8,7,7,35,36,7,5,,,,,,,,,174
87,고덕리엔파크1단지,25104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,4,,,1,1,3,4,2,,1,,1,,1,,1,,1,1,8,4,7,11,8,4,,16,5,4,5,,3,1,,,,,,100
88,강일동주민센터,25318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,2,2,3,5,2,,2,1,1,2,,5,2,1,4,1,5,4,3,2,8,4,17,4,13,36,36,45,29,15,7,53,65,27,21,4,34,1,,,,,,469
89,강일리버파크3단지.1단지,25337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,2,,,1,1,1,,1,2,1,,1,1,4,1,2,,1,1,6,13,16,11,2,9,2,12,13,6,2,,16,1,2,,,,,134
90,강일리버파크4단지.2단지,25320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,1,,3,1,3,2,,1,,1,3,4,1,2,,3,2,7,11,9,20,10,5,3,30,33,9,6,2,8,2,8,,,,,196
91,강일리버파크4단지.5단지,25334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,1,,,2,,,,,4,1,2,6,1,5,2,1,3,14,12,1,,,1,1,2,,1,,,64
92,강일고등학교.강일리버파크7단지,25322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,2,2,1,7,6,2,2,8,8,1,,,4,1,5,,5,4,,63
93,강일리버파크8단지,25333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,1,,,,,,,2,1,,,,1,1,4,1,2,3,4,,3,5,3,2,,1,,,1,4,,,43
94,강일리버파크6단지,25324,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,1,2,,1,,,,3,,1,14
All,,,8,8,88,129,182,290,261,222,211,176,156,183,297,480,834,488,100,391,479,385,402,744,620,135,361,340,259,300,350,322,453,193,265,339,159,95,139,118,110,41,82,107,143,80,66,23,193,89,72,293,420,430,424,367,402,156,423,593,625,342,654,295,155,232,97,310,260,319,207,409,137,496,193,312,762,736,302,198,142,57,341,245,98,54,7,68,7,17,1,13,4,1,23572
