하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,All
30,중곡동성당앞,5114,,1,,,1,,,,,,,,,1,3,2,5,3,10,7,12,17,11,32,5,64,8,15,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
31,종합의료복합단지,5115,,,1,,,,,,,,,,,,2,1,2,2,6,11,7,3,9,12,1,21,6,11,17,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
32,중곡역.국립정신건강센터,5133,,,,,,,,,,,1,,1,3,3,2,3,4,2,5,7,8,14,10,,36,4,3,17,19,15,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
33,용곡삼거리,5132,,,1,,,,,,,,,,1,1,2,2,3,3,5,5,4,1,8,17,1,19,4,1,24,11,5,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
34,용마산빌라,7439,,,3,1,1,,,1,1,1,2,,,1,3,3,1,2,6,3,,5,5,26,,39,6,5,33,29,17,6,60,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
35,면곡시장앞,5129,,,,,,,,,,,1,,,2,3,1,2,1,3,,1,,1,7,,15,1,6,19,10,7,3,17,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
36,중곡3동주민센터앞,5128,,,,,,,,,,1,1,,,,1,,1,2,2,2,2,3,1,11,1,17,2,2,8,7,4,,10,1,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
37,중곡역입구,5126,,,,,,,,,,,,,,,,,1,,1,1,,3,1,3,3,2,1,,,3,,,13,2,4,15,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
38,중마초등학교.중곡제일골목시장앞,5124,,,,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,1,,,1,1,5,11,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
39,용마사거리,5111,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,8,13,17,9,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
40,중곡2동주민센터앞,5112,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,8,13,31,9,25,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
41,능동사거리.군자역,5253,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,18,38,74,39,80,47,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339
42,능동교회앞,5252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,2,10,4,5,10,8,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
43,어린이대공원앞.세종대학교,5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,1,8,2,8,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
44,어린이대공원역.화양천주교회,5227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,6,18,3,4,15,9,12,45,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,131
45,한아름공원,5228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,15,12,11,2,18,29,21,11,5,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,154
46,건대입구역사거리.건대병원,5229,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,8,26,23,24,10,30,38,33,69,41,27,46,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,398
47,건대입구역1번출구,5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,7,4,4,4,13,12,28,7,13,8,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,116
48,서울효사랑병원,4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,6,2,5,3,3,16,17,54,11,9,8,3,9,66,2,,,,,,,,,,,,,,,,,,,,,,,,224
49,경수중학교,4190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,1,4,5,7,30,3,8,15,3,9,62,4,,,,,,,,,,,,,,,,,,,,,,,,163
50,영동대교북단,4189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,3,3,3,,7,6,38,3,5,13,4,8,79,7,4,9,,,,,,,,,,,,,,,,,,,,,,202
51,청담동주민센터,23166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,6,4,5,7,8,14,14,48,12,7,30,13,43,112,49,32,137,36,,,,,,,,,,,,,,,,,,,,,586
52,농협앞,23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,5,10,4,7,1,5,9,33,8,2,26,16,26,84,47,22,74,65,7,,,,,,,,,,,,,,,,,,,,453
53,씨네시티앞,23161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,4,6,4,1,17,17,27,8,5,32,22,20,77,58,34,83,94,27,6,,,,,,,,,,,,,,,,,,,553
54,도산공원사거리,23155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,1,4,6,4,16,5,4,19,8,15,33,24,20,44,51,23,17,4,,,,,,,,,,,,,,,,,,306
55,신사동교회,23151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,4,2,2,3,9,14,4,,8,6,7,16,21,18,36,47,17,43,15,4,,,,,,,,,,,,,,,,,282
56,신사동고개,23107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,1,1,3,6,14,1,1,8,6,12,29,23,19,28,49,53,56,39,57,8,,,,,,,,,,,,,,,,419
57,신사역8번출구.가로수길,23108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,3,10,9,3,5,9,11,25,8,5,19,16,22,36,27,32,69,140,143,164,151,106,32,,,,,,,,,,,,,,,,1048
58,신사역4번출구,22185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,5,1,1,2,,3,4,1,,2,3,3,9,13,10,12,58,49,47,26,27,9,10,6,,,,,,,,,,,,,,305
59,논현역7번출구,22183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,1,2,1,2,1,3,3,2,4,8,19,31,49,43,22,9,53,73,7,,,,,,,,,,,,,337
60,반포역,22017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,2,,1,4,1,1,1,3,2,7,7,17,32,38,34,17,27,28,34,15,,,,,,,,,,,,274
61,고속터미널,22019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,3,1,1,,,5,10,4,7,14,18,38,106,70,63,32,37,47,50,22,14,,,,,,,,,,,547
62,신반포역.세화여중고,22021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,2,,,2,1,2,7,4,4,13,5,2,2,8,10,15,17,17,6,,,,,,,,,,122
63,구반포역.세화고등학교,22023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,1,2,1,2,1,2,3,1,6,3,1,11,18,11,4,,,,,,,,,70
64,갯마을앞,20015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,3,,,4,1,2,2,3,2,3,9,10,24,9,14,7,22,23,39,47,153,65,14,,,,,,,,,458
65,정금마을.방배경찰서,20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,1,1,1,2,3,3,5,3,3,11,9,13,10,63,18,10,,2,,,,,,,161
66,경문고교.배나무골앞,20017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,2,4,4,7,6,6,5,13,11,19,10,63,39,9,15,13,1,,,,,,231
67,총신대입구역.남성사계시장입구앞,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,1,,1,2,3,12,13,19,14,8,28,19,19,16,90,47,25,38,28,7,7,,,,,401
68,사당동우체국앞,20019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,2,,,1,,,,,2,4,2,3,8,7,9,2,13,16,22,2,26,18,5,1,5,7,17,2,,,,178
69,방배노인종합복지관,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,1,1,3,2,3,3,17,15,20,16,15,28,27,35,5,36,22,4,10,12,11,19,7,2,,,319
70,사당역,21028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,,2,1,,2,,5,10,14,32,27,22,17,31,32,47,13,65,31,11,20,24,17,68,23,18,,,540
71,사당자동차학원,21027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,1,2,1,2,1,2,4,1,5,1,2,8,6,,2,2,4,22,6,9,19,,104
72,남태령역,21163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,3,1,,1,,1,1,5,1,5,2,15,10,10,11,21,16,2,10,4,1,18,8,13,61,4,226
All,,,187,395,782,341,521,297,209,363,109,197,588,157,231,652,1036,319,416,449,547,496,426,294,306,330,25,575,111,93,169,97,62,21,146,65,137,222,243,131,219,243,231,555,147,101,266,129,194,630,295,218,551,625,476,643,488,409,173,303,319,312,181,574,279,84,96,90,48,151,46,42,80,4,20947
