하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
19,도봉면허시험장,11186.0,,,,,3.0,7.0,8.0,10.0,14.0,23.0,6.0,10.0,24.0,33.0,32.0,17.0,13.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
20,상계주공3단지,11244.0,,,,,,16.0,16.0,10.0,6.0,15.0,7.0,7.0,34.0,46.0,28.0,46.0,20.0,20.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
21,상계주공2단지,11245.0,,,,,1.0,9.0,10.0,4.0,5.0,5.0,3.0,4.0,10.0,21.0,22.0,25.0,5.0,10.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
22,상계주공1단지,11246.0,,,,,,,5.0,,4.0,5.0,1.0,4.0,4.0,12.0,7.0,8.0,3.0,5.0,17.0,11.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
23,중계역,11366.0,,,,,1.0,5.0,10.0,3.0,4.0,1.0,4.0,3.0,11.0,15.0,10.0,14.0,10.0,7.0,18.0,32.0,21.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
24,노원구민의전당,11367.0,,,,,,3.0,10.0,4.0,3.0,6.0,4.0,5.0,17.0,17.0,15.0,27.0,7.0,17.0,29.0,58.0,17.0,11.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262
25,하계역,11447.0,,,,,,3.0,4.0,,2.0,3.0,,1.0,9.0,9.0,12.0,7.0,3.0,12.0,6.0,49.0,21.0,16.0,11.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194
26,하계장미아파트,11448.0,,,,,,,2.0,8.0,4.0,3.0,4.0,3.0,5.0,13.0,6.0,10.0,,12.0,12.0,40.0,15.0,16.0,11.0,15.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204
27,서울과학기술대입구,11160.0,,,,,,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,9.0,18.0,43.0,19.0,15.0,12.0,30.0,13.0,22.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224
28,공릉역4번출구,11162.0,,,,,1.0,1.0,1.0,4.0,2.0,,1.0,1.0,6.0,8.0,4.0,7.0,2.0,1.0,9.0,29.0,13.0,18.0,18.0,30.0,21.0,33.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229
