하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
59,한국무역센터.삼성역,23201.0,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,3.0,3.0,,2.0,2.0,3.0,4.0,3.0,4.0,5.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,6.0,11.0,11.0,6.0,5.0,7.0,10.0,3.0,12.0,16.0,6.0,2.0,3.0,19.0,13.0,37.0,9.0,6.0,20.0,34.0,30.0,33.0,19.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392
60,포스코건너편,23217.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,6.0,1.0,4.0,6.0,14.0,5.0,3.0,14.0,5.0,3.0,16.0,12.0,4.0,1.0,7.0,13.0,13.0,22.0,8.0,2.0,8.0,32.0,14.0,10.0,21.0,8.0,55.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
61,선릉역,23218.0,,,,,,,1.0,,,,,,,1.0,,2.0,,,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,4.0,2.0,1.0,,3.0,,5.0,2.0,3.0,3.0,9.0,1.0,2.0,4.0,5.0,,8.0,6.0,3.0,1.0,2.0,4.0,6.0,20.0,1.0,5.0,6.0,20.0,15.0,3.0,10.0,14.0,39.0,155.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405
62,서울상록회관.한국기술센터,23277.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,4.0,2.0,3.0,7.0,8.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,17.0,3.0,1.0,7.0,16.0,10.0,6.0,11.0,9.0,30.0,29.0,90.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329
63,아가방빌딩.하나은행,23280.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,5.0,9.0,3.0,3.0,2.0,4.0,,4.0,6.0,6.0,2.0,4.0,3.0,5.0,13.0,5.0,3.0,3.0,14.0,14.0,12.0,6.0,12.0,13.0,38.0,33.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276
64,역삼역4번출구,23283.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,,8.0,5.0,2.0,1.0,2.0,2.0,,10.0,3.0,2.0,6.0,22.0,8.0,7.0,7.0,10.0,7.0,28.0,15.0,35.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
65,강남역12번출구,23284.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,2.0,2.0,,,2.0,3.0,1.0,6.0,4.0,4.0,4.0,6.0,4.0,1.0,10.0,7.0,4.0,3.0,2.0,8.0,12.0,18.0,5.0,1.0,8.0,24.0,16.0,6.0,7.0,7.0,10.0,41.0,24.0,61.0,53.0,33.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
66,강남역.강남역사거리,22167.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,2.0,4.0,2.0,9.0,1.0,,1.0,5.0,3.0,2.0,1.0,2.0,5.0,16.0,8.0,17.0,16.0,13.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
67,진흥아파트,22166.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,2.0,,2.0,1.0,6.0,1.0,4.0,4.0,,5.0,15.0,13.0,12.0,15.0,11.0,5.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
68,서초푸르지오써밋.롯데캐슬클래식,22164.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,5.0,,3.0,1.0,,1.0,2.0,3.0,,,,3.0,5.0,2.0,3.0,,29.0,27.0,21.0,32.0,20.0,21.0,16.0,45.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256
69,신논현역.구교보타워사거리,22172.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,2.0,2.0,,1.0,,5.0,1.0,1.0,2.0,1.0,2.0,,1.0,,4.0,7.0,3.0,10.0,19.0,16.0,4.0,3.0,8.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
70,강남역1번출구.역삼세무서,23287.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,20.0,150.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192
71,역삼역.포스코타워역삼,23288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,25.0,240.0,52.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328
72,대한사회복지회,23305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,27.0,241.0,78.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375
73,한국자산신탁.센터필드,23306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,14.0,70.0,72.0,29.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
74,선릉역,23259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,17.0,74.0,37.0,37.0,32.0,36.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359
75,포스코빌딩,23260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,85.0,51.0,42.0,25.0,34.0,319.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588
76,한국무역센터.삼성역,23251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,28.0,12.0,11.0,10.0,20.0,23.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
77,삼성역,23242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,18.0,3.0,4.0,6.0,12.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
78,삼성역7번출구,23197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,3.0,4.0,3.0,3.0,4.0,1.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
79,봉은사역3번출구.삼성1파출소,23192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,13.0,4.0,5.0,12.0,11.0,15.0,6.0,28.0,21.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
80,청담역.경기고교,23188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,2.0,7.0,2.0,20.0,18.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
81,우리은행청담지점.청담삼익아파트,23171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,3.0,5.0,,,1.0,1.0,4.0,6.0,21.0,77.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
82,영동교입구.청담자이아파트,23168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,11.0,9.0,6.0,4.0,11.0,8.0,4.0,5.0,31.0,77.0,4.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192
83,영동대교북단,5220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,11.0,17.0,10.0,11.0,13.0,17.0,17.0,20.0,35.0,63.0,96.0,11.0,14.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363
84,노룬산시장,5216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,9.0,27.0,2.0,2.0,7.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
85,성수사거리,5224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,12.0,4.0,4.0,6.0,7.0,10.0,14.0,18.0,24.0,61.0,5.0,14.0,9.0,28.0,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243
86,화양사거리,5225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,7.0,39.0,11.0,6.0,8.0,16.0,20.0,21.0,41.0,45.0,91.0,2.0,7.0,14.0,32.0,23.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399
87,송정동서울숲아이파크,5235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,8.0,14.0,2.0,3.0,7.0,9.0,8.0,10.0,20.0,19.0,37.0,3.0,3.0,10.0,30.0,18.0,18.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235
88,송정동건영아파트,5236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,12.0,5.0,4.0,2.0,9.0,5.0,5.0,14.0,10.0,28.0,2.0,3.0,5.0,12.0,16.0,20.0,16.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
89,군자교,5101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,7.0,6.0,1.0,1.0,7.0,9.0,4.0,7.0,10.0,15.0,,2.0,5.0,19.0,7.0,13.0,23.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
90,중곡아파트,5122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,5.0,2.0,6.0,9.0,5.0,6.0,1.0,7.0,,1.0,2.0,7.0,6.0,10.0,20.0,6.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
91,면곡시장,5120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,3.0,1.0,2.0,4.0,5.0,6.0,5.0,3.0,6.0,,2.0,3.0,9.0,9.0,8.0,16.0,4.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
92,늘푸른동아아파트,7123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,7.0,10.0,4.0,3.0,4.0,5.0,6.0,8.0,13.0,7.0,11.0,1.0,,4.0,16.0,7.0,22.0,22.0,8.0,3.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
93,경남아너스빌아파트앞,7122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,9.0,2.0,1.0,3.0,7.0,6.0,3.0,1.0,5.0,5.0,,4.0,3.0,5.0,4.0,8.0,7.0,3.0,3.0,7.0,4.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
94,면목신우아파트,7120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,2.0,8.0,7.0,6.0,10.0,,2.0,2.0,12.0,8.0,13.0,16.0,3.0,4.0,6.0,4.0,2.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
95,늘푸른근린공원,7466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,13.0,1.0,1.0,1.0,8.0,4.0,7.0,7.0,14.0,13.0,1.0,1.0,2.0,10.0,3.0,18.0,19.0,5.0,2.0,7.0,7.0,7.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167
96,장안시장,7118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,1.0,3.0,,5.0,5.0,10.0,9.0,3.0,10.0,,2.0,5.0,12.0,11.0,15.0,22.0,7.0,9.0,5.0,6.0,7.0,16.0,8.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183
97,면목2동,7116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,5.0,2.0,1.0,1.0,6.0,2.0,4.0,5.0,7.0,5.0,,1.0,3.0,6.0,5.0,16.0,12.0,5.0,5.0,9.0,3.0,2.0,9.0,13.0,2.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
98,중목초등학교,7114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,5.0,3.0,,3.0,5.0,4.0,14.0,5.0,9.0,12.0,2.0,1.0,4.0,7.0,10.0,16.0,15.0,10.0,4.0,9.0,10.0,8.0,17.0,12.0,,17.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
99,상봉2동복합청사.도서관,7112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,4.0,2.0,3.0,6.0,1.0,5.0,5.0,9.0,12.0,,2.0,4.0,14.0,6.0,11.0,35.0,18.0,7.0,18.0,14.0,7.0,19.0,11.0,3.0,9.0,17.0,14.0,10.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299
100,중화동한신아파트,7110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,8.0,1.0,1.0,6.0,5.0,10.0,15.0,20.0,16.0,28.0,2.0,1.0,14.0,26.0,22.0,26.0,26.0,17.0,18.0,12.0,17.0,12.0,33.0,23.0,11.0,36.0,24.0,39.0,25.0,52.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555
101,지하철7호선중화역,7108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,4.0,4.0,1.0,2.0,2.0,5.0,11.0,7.0,9.0,7.0,,4.0,5.0,7.0,8.0,11.0,24.0,5.0,5.0,6.0,8.0,6.0,13.0,19.0,9.0,17.0,22.0,27.0,20.0,34.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321
102,한국전력동대문중랑지사,7106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,7.0,1.0,,,8.0,2.0,10.0,12.0,,4.0,7.0,4.0,2.0,16.0,7.0,4.0,12.0,12.0,10.0,17.0,23.0,11.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
103,먹골역,7426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,1.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,5.0,,1.0,2.0,5.0,,13.0,21.0,2.0,6.0,2.0,3.0,3.0,17.0,5.0,4.0,10.0,22.0,16.0,18.0,24.0,13.0,26.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268
104,먹골역.묵동자이아파트,7104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,3.0,3.0,4.0,3.0,,1.0,3.0,,3.0,,3.0,1.0,4.0,11.0,1.0,4.0,2.0,4.0,3.0,13.0,8.0,4.0,11.0,13.0,10.0,10.0,15.0,20.0,24.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
105,묵동자이.신도브래뉴아파트,7102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,1.0,3.0,7.0,,1.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,3.0,1.0,4.0,9.0,3.0,10.0,14.0,6.0,12.0,11.0,11.0,13.0,11.0,11.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163
106,태릉입구역4번출구,11103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,7.0,3.0,2.0,3.0,3.0,3.0,,,,3.0,,7.0,9.0,4.0,3.0,4.0,6.0,3.0,11.0,9.0,7.0,8.0,8.0,7.0,9.0,15.0,24.0,29.0,14.0,13.0,19.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,261
107,공릉시장,11101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,4.0,1.0,,,1.0,1.0,2.0,3.0,10.0,,1.0,2.0,,,5.0,1.0,2.0,6.0,1.0,2.0,5.0,9.0,10.0,20.0,9.0,16.0,15.0,12.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,169
108,공릉역1번출구,11161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,1.0,2.0,4.0,3.0,,3.0,,,,5.0,1.0,6.0,7.0,4.0,2.0,2.0,2.0,1.0,8.0,8.0,4.0,14.0,5.0,7.0,5.0,14.0,11.0,9.0,2.0,14.0,17.0,25.0,44.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,249
109,서울과학기술대입구,11159.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,,,,4.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,5.0,10.0,6.0,4.0,6.0,6.0,10.0,4.0,9.0,8.0,11.0,21.0,24.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,197
110,하계미성아파트,11417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,4.0,,1.0,6.0,4.0,5.0,,,1.0,,2.0,5.0,13.0,8.0,5.0,4.0,4.0,4.0,,11.0,4.0,1.0,11.0,4.0,15.0,7.0,6.0,8.0,8.0,6.0,9.0,13.0,22.0,24.0,52.0,25.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,316
111,하계역,11416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,1.0,1.0,2.0,4.0,,,,,,,,3.0,5.0,5.0,2.0,3.0,,1.0,2.0,7.0,3.0,,2.0,7.0,3.0,3.0,8.0,2.0,2.0,11.0,12.0,14.0,8.0,17.0,43.0,21.0,20.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,222
112,서울시립북서울미술관,11374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,7.0,8.0,9.0,7.0,2.0,8.0,6.0,14.0,27.0,25.0,24.0,15.0,10.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,220
113,중계역,11373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,2.0,,4.0,,2.0,,1.0,1.0,4.0,9.0,5.0,1.0,2.0,5.0,,4.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,6.0,3.0,5.0,15.0,9.0,12.0,19.0,20.0,18.0,23.0,6.0,14.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,227
114,백병원,11257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,1.0,1.0,2.0,,,,2.0,,5.0,4.0,1.0,2.0,1.0,2.0,2.0,10.0,3.0,1.0,6.0,4.0,3.0,6.0,9.0,5.0,6.0,6.0,4.0,11.0,6.0,43.0,34.0,28.0,40.0,21.0,8.0,30.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,324
115,상계주공4단지,11256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,4.0,,2.0,4.0,2.0,,,7.0,2.0,,4.0,4.0,5.0,5.0,8.0,4.0,7.0,3.0,6.0,8.0,9.0,18.0,14.0,16.0,24.0,17.0,14.0,33.0,16.0,3.0,1.0,,,,,,,,,,,,,,,,,,,256
116,상계주공6단지,11255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,1.0,2.0,,,3.0,1.0,,,,,1.0,2.0,2.0,2.0,2.0,,3.0,1.0,5.0,2.0,1.0,9.0,8.0,6.0,3.0,15.0,6.0,11.0,5.0,6.0,13.0,10.0,14.0,26.0,20.0,50.0,21.0,21.0,43.0,26.0,14.0,7.0,2.0,,,,,,,,,,,,,,,,,,368
117,도봉면허시험장,11185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,2.0,,4.0,1.0,,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,3.0,6.0,5.0,4.0,3.0,7.0,9.0,8.0,18.0,14.0,24.0,25.0,10.0,22.0,16.0,16.0,18.0,15.0,14.0,5.0,,,,,,,,,,,,,,,,,266
