하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,All
30,테크노마트앞.강변역,5267.0,,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,3.0,3.0,,4.0,1.0,4.0,,7.0,,12.0,30.0,27.0,28.0,32.0,21.0,18.0,24.0,81.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,314
31,현대아파트앞,5157.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,8.0,2.0,3.0,7.0,4.0,6.0,10.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,61
32,풍납동극동.쌍용아파트,24232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,78
33,강동구청역농협중앙회,25313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,24.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,43
34,강동구청역1번출구.영파여고,25164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,28.0,16.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,59
35,천호역,25163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,29.0,13.0,6.0,5.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,64
36,천호역6번출구.천호사거리,25128.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.0,39.0,17.0,6.0,11.0,9.0,1.0,4.0,,,,,,,,,,,,,,,,,,,95
37,강동역.강풀만화거리입구,25126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38.0,5.0,3.0,5.0,6.0,12.0,12.0,5.0,,,,,,,,,,,,,,,,,,89
38,길동사거리.강동세무서,25124.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,31.0,14.0,8.0,9.0,14.0,11.0,40.0,9.0,2.0,,,,,,,,,,,,,,,,,142
39,강동리바트,25244.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,4.0,,1.0,8.0,8.0,27.0,10.0,7.0,2.0,,,,,,,,,,,,,,,,76
