하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,All
26,대순진리회,25210.0,,,1.0,1.0,2.0,,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,5.0,2.0,7.0,11.0,7.0,7.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
27,성내2동주민센터.성내복지관,25212.0,,,1.0,2.0,,,,3.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,4.0,15.0,7.0,8.0,14.0,9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
28,성내삼성청구아파트,25214.0,,,,,2.0,1.0,,3.0,1.0,1.0,7.0,1.0,4.0,2.0,5.0,2.0,,2.0,4.0,7.0,5.0,9.0,8.0,10.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
29,성내주유소,25216.0,,,,,,,1.0,,1.0,,3.0,,2.0,,1.0,1.0,1.0,3.0,8.0,11.0,7.0,5.0,6.0,,7.0,25.0,30.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
30,영파여고.강동구청역,24109.0,,,3.0,1.0,2.0,3.0,,5.0,3.0,8.0,9.0,2.0,16.0,5.0,3.0,2.0,1.0,9.0,28.0,16.0,12.0,13.0,12.0,4.0,14.0,30.0,38.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
31,풍납현대아파트,24468.0,1.0,,,,,,,,,,,1.0,2.0,,3.0,,1.0,3.0,2.0,5.0,3.0,5.0,4.0,,,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
32,풍납동극동.쌍용아파트,24110.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,3.0,4.0,3.0,,3.0,5.0,1.0,,,,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
33,올림픽대교남단,24121.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,4.0,1.0,2.0,1.0,1.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
34,현대2단지,5163.0,,,,,,,,,,2.0,2.0,,1.0,2.0,2.0,,1.0,3.0,3.0,7.0,5.0,,4.0,1.0,5.0,4.0,5.0,3.0,6.0,18.0,6.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
35,테크노마트앞.강변역,5267.0,1.0,1.0,1.0,1.0,,,1.0,4.0,3.0,3.0,2.0,2.0,2.0,,6.0,1.0,1.0,6.0,14.0,17.0,14.0,16.0,11.0,3.0,8.0,12.0,22.0,20.0,10.0,22.0,19.0,29.0,60.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316
36,현대아파트앞,5157.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,2.0,,,1.0,2.0,,,,4.0,3.0,1.0,2.0,4.0,4.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
37,풍납동극동.쌍용아파트,24232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,57.0,26.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,87
