하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,All
67,경수중학교,4194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,,,1.0,,2.0,,1.0,3.0,1.0,1.0,1.0,9.0,12.0,9.0,1.0,1.0,10.0,12.0,15.0,7.0,10.0,8.0,4.0,3.0,,,,,,,,,,116
68,뚝도시장,4196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,1.0,1.0,,,1.0,3.0,1.0,,2.0,12.0,6.0,26.0,6.0,,6.0,19.0,19.0,6.0,5.0,5.0,4.0,12.0,,1.0,,,,,,,,140
69,성원중성수동이마트앞,4198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,12.0,,,6.0,7.0,6.0,6.0,9.0,4.0,6.0,4.0,1.0,1.0,,,,,,,,68
70,성수공고앞,4182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,2.0,,1.0,5.0,5.0,6.0,5.0,3.0,,3.0,18.0,18.0,11.0,8.0,9.0,14.0,20.0,1.0,1.0,5.0,2.0,,,,,,141
71,경일초등학교입구,4184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,2.0,,,3.0,9.0,9.0,7.0,5.0,5.0,1.0,5.0,3.0,1.0,6.0,2.0,,,,,,63
72,뚝도아리수정수센터수도박물관,4176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,3.0,3.0,1.0,,,6.0,1.0,2.0,4.0,4.0,2.0,1.0,,,,,31
73,천주교성수동성당앞,4174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,3.0,,,1.0,6.0,2.0,4.0,,1.0,1.0,,1.0,,,3.0,1.0,,,,,26
74,성수1가1동새마을금고,4171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,2.0,,,12
75,서울숲지구대앞,4199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,3.0,2.0,,11
76,뚝도시장구길,4201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,2.0,5.0,8.0,1.0,4.0,3.0,1.0,3.0,,,,,1.0,5.0,4.0,1.0,1.0,51
All,,,12.0,22.0,31.0,21.0,33.0,38.0,102.0,103.0,106.0,158.0,83.0,100.0,253.0,200.0,117.0,180.0,163.0,300.0,346.0,231.0,22.0,677.0,172.0,146.0,204.0,61.0,188.0,31.0,1259.0,23.0,3.0,45.0,49.0,48.0,73.0,15.0,13.0,65.0,43.0,103.0,40.0,243.0,485.0,427.0,478.0,395.0,116.0,16.0,239.0,273.0,259.0,257.0,101.0,218.0,277.0,394.0,124.0,12.0,178.0,220.0,182.0,90.0,74.0,49.0,38.0,49.0,8.0,9.0,15.0,9.0,4.0,7.0,9.0,3.0,1.0,11138
