하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,115,All
19,휘경여중고휘경주공아파트앞,6142.0,,2.0,1.0,,4.0,2.0,2.0,7.0,1.0,2.0,2.0,4.0,3.0,20.0,17.0,4.0,4.0,37.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
20,배봉산입구,6322.0,,1.0,1.0,,2.0,2.0,2.0,1.0,,,,3.0,3.0,13.0,9.0,5.0,4.0,9.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
21,장안2동주민센터,6213.0,,,2.0,,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,5.0,6.0,7.0,4.0,5.0,5.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
22,장안교은석초등학교,6215.0,,,,1.0,,,,,,,,,1.0,2.0,,1.0,1.0,1.0,,9.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
23,홈플러스면목동점,7243.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,29.0,8.0,20.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
24,면목두산아파트2차,7245.0,,,,,1.0,,,1.0,,,,,1.0,2.0,3.0,,,1.0,4.0,15.0,5.0,46.0,35.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
25,사가정역,7247.0,,,1.0,,1.0,,,,1.0,1.0,2.0,,1.0,3.0,3.0,2.0,1.0,2.0,7.0,29.0,11.0,88.0,59.0,22.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248
26,면목시장,7180.0,,,,,1.0,,,1.0,,,,,1.0,,2.0,2.0,,2.0,5.0,7.0,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
27,면남초등학교,7182.0,,,,,,,,,,,,,,,,2.0,,1.0,1.0,8.0,,3.0,7.0,1.0,1.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
28,방약국앞,7184.0,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,1.0,4.0,,6.0,,8.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
