하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,All
87,송정동건영아파트,5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,5,4,2,2,1,4,3,1,2,1,12,9,9,10,12,,2,,,,,,,,,,,,,,,,,,,,91
88,군자교,5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,4,2,1,1,,1,1,2,,,6,6,2,3,8,16,3,3,1,,,,,,,,,,,,,,,,,,,63
89,중곡아파트,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,1,1,5,4,2,,,2,2,3,,2,5,9,4,12,11,4,6,5,1,,,,,,,,,,,,,,,,,,83
90,면곡시장,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,1,2,1,1,,1,1,2,1,,4,4,5,4,5,8,,,1,1,,,,,,,,,,,,,,,,,,47
91,늘푸른동아아파트,7123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,,3,5,,2,,1,1,,2,4,,3,10,14,7,12,11,1,4,1,4,1,,,,,,,,,,,,,,,,,92
92,경남아너스빌아파트앞,7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,2,,1,,,2,1,1,1,1,5,6,2,7,7,2,2,2,7,,,,,,,,,,,,,,,,,,52
93,면목신우아파트,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,2,2,2,3,3,3,,1,,,1,1,1,1,2,13,5,6,9,10,,3,2,3,5,7,3,,,,,,,,,,,,,,,91
94,늘푸른근린공원,7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,,,3,3,1,1,1,1,2,1,8,10,4,11,16,1,5,4,7,7,9,4,,,,,,,,,,,,,,,107
95,장안시장,7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,,4,3,1,4,,3,2,2,2,3,4,6,11,5,13,18,1,4,2,2,7,3,7,1,,,,,,,,,,,,,,113
96,하나은행면목지점,7224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,2,,,,,1,,1,,3,6,3,2,5,15,1,3,,,1,,2,1,1,1,,,,,,,,,,,,52
97,면목복개천,7226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,5,4,2,1,,1,2,3,3,1,5,3,2,9,16,4,2,1,4,2,7,2,,2,3,20,1,,,,,,,,,,108
98,지하철7호선면목역,7228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,6,,2,,,,,,3,3,5,7,7,13,13,1,5,4,,2,9,3,1,11,7,26,,20,,,,,,,,,152
99,농협앞,7230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,3,1,1,,,1,2,,1,,6,4,4,4,3,3,,1,2,3,1,2,3,,5,1,3,4,53,3,,,,,,,,117
100,혜원여중고후문,7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,2,1,2,1,,,,2,,1,1,6,5,2,6,5,1,2,2,2,,3,2,,1,5,6,5,98,2,,,,,,,,167
101,면일초등학교,7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,1,,1,,3,2,5,4,4,4,3,3,2,1,3,2,10,7,1,4,5,6,10,143,11,2,,,,,,,241
102,용마공원입구,7189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,,1,2,,,1,5,6,4,9,5,2,1,4,5,1,1,3,1,5,2,6,6,123,11,4,2,1,,,,,216
103,삼용사입구,7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,2,,1,,,1,2,1,3,3,4,6,5,,3,1,,,3,2,,,,3,4,52,8,7,9,5,1,,,,129
104,능산지하차도,7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,2,,,,,1,1,,,,1,,3,2,5,1,2,3,,2,1,1,,1,1,,1,1,7,5,11,9,6,15,8,3,1,,,98
105,신내새한아파트앞,7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,1,1,1,2,,,,1,1,1,,,5,4,1,2,2,4,3,1,2,2,2,1,3,,1,,3,,4,6,5,19,9,10,3,5,,109
106,신내교회.신내데시앙아파트,7302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,1,1,,,1,,1,,,1,1,,,,,,2,,3,16,4,11,1,6,,55
107,중랑공영차고지,7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,2,1,3,3,6,,,,,2,3,,,,,4,,1,4,1,5,4,5,3,11,1,62
108,중랑공영차고지.신내역,7550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1,,1,,,,6,5,2,2,2,9,2,3,5,5,5,2,,2,3,2,3,1,1,,2,,10,4,5,8,4,6,3,5,1,113
All,,,7,56,111,144,89,172,267,163,206,104,83,83,70,127,74,35,110,68,61,30,61,92,91,219,71,34,74,162,186,189,48,255,76,404,101,41,37,75,30,105,104,126,79,147,233,114,32,415,46,46,9,23,57,128,191,115,108,119,74,196,156,84,59,121,22,146,53,148,147,154,316,325,165,148,38,72,64,167,84,117,136,231,189,111,175,203,33,53,37,47,36,62,46,6,32,25,86,35,517,58,33,74,35,36,11,27,2,11695
