하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,105,106,107,All
20,혜원여중고후문,7233.0,,,,,1.0,8.0,2.0,2.0,,,,2.0,11.0,1.0,2.0,8.0,15.0,3.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
21,농협앞,7231.0,,,,3.0,2.0,8.0,,1.0,2.0,1.0,,7.0,8.0,7.0,1.0,16.0,18.0,27.0,57.0,33.0,56.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256
22,면목역,7229.0,,,1.0,4.0,5.0,9.0,1.0,3.0,1.0,4.0,,14.0,20.0,6.0,15.0,19.0,26.0,82.0,138.0,82.0,102.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541
23,면목복개천,7227.0,,,,5.0,1.0,,,,1.0,,,3.0,10.0,3.0,2.0,5.0,10.0,5.0,8.0,1.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
24,하나은행면목지점,7225.0,,,,3.0,2.0,2.0,,1.0,,,,1.0,6.0,3.0,4.0,8.0,24.0,7.0,5.0,7.0,5.0,8.0,15.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
25,면목5동주민센터,7117.0,,,,,1.0,1.0,,,,,,2.0,6.0,2.0,5.0,6.0,6.0,5.0,10.0,5.0,3.0,13.0,5.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
26,늘푸른근린공원,7465.0,,,,,,,,,,,,3.0,1.0,,,3.0,,2.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
27,홈플러스면목동점,7243.0,,,,,,,,,1.0,,,1.0,4.0,1.0,2.0,,3.0,,1.0,6.0,2.0,4.0,,,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
28,면목두산아파트2차,7245.0,,,,,,,,1.0,,,,,2.0,,,2.0,1.0,2.0,5.0,3.0,,1.0,1.0,1.0,9.0,16.0,20.0,30.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
29,사가정역,7247.0,,,,,2.0,,,,,,,1.0,1.0,1.0,,3.0,2.0,1.0,2.0,4.0,1.0,,2.0,1.0,9.0,35.0,58.0,62.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
