하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,All
40,동대문구청.용신동주민센터,6166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,11.0,6.0,7.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,43
41,마장축산물시장,4120.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,9.0,12.0,5.0,11.0,18.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,72
42,도선사거리,4122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,6.0,8.0,15.0,8.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,59
43,성동구청,4112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,12.0,8.0,17.0,16.0,20.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,114
44,왕십리역,4133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,10.0,4.0,20.0,14.0,11.0,22.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,102
45,행당1동주민센터.성동소방서,4136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,13.0,19.0,10.0,15.0,9.0,18.0,13.0,10.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,126
46,한양대정문,4129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,17.0,11.0,21.0,16.0,23.0,24.0,18.0,18.0,10.0,16.0,2.0,,1.0,,,,,,,,,,,,,,,,,178
47,상원,4187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10.0,16.0,7.0,21.0,11.0,3.0,9.0,7.0,19.0,13.0,10.0,20.0,,,,,,,,,,,,,,,,,148
48,리버하우스,4254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,7.0,8.0,4.0,11.0,5.0,1.0,12.0,4.0,9.0,14.0,5.0,28.0,1.0,,,,,,,,,,,,,,,,113
49,성수2가3동주민센터,4210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,18.0,7.0,7.0,3.0,4.0,14.0,6.0,13.0,20.0,10.0,33.0,6.0,2.0,,,,,,,,,,,,,,,153
