하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,All
31,서울준법지원센터.동성빌라,6140.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,148.0,36.0,13.0,44.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,253
32,휘경여중고휘경주공아파트앞,6142.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,315.0,44.0,28.0,68.0,4.0,15.0,1.0,,,,,,,,,,,,,,,,,,,486
33,배봉산입구,6322.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.0,17.0,20.0,25.0,9.0,5.0,8.0,,,,,,,,,,,,,,,,,,,183
34,장안2동주민센터,6213.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,119.0,14.0,12.0,22.0,12.0,9.0,14.0,12.0,3.0,,,,,,,,,,,,,,,,,220
35,장안동근린공원,6237.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126.0,10.0,18.0,22.0,19.0,6.0,35.0,5.0,38.0,,,,,,,,,,,,,,,,,281
36,동대문더퍼스트데시앙아파트,6239.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,7.0,148.0,26.0,10.0,31.0,18.0,16.0,61.0,14.0,84.0,4.0,2.0,,,,,,,,,,,,,,,422
37,코리아병원,6241.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,123.0,20.0,16.0,40.0,25.0,25.0,75.0,9.0,75.0,18.0,8.0,1.0,,,,,,,,,,,,,,446
38,장안동삼성쉐르빌아파트,6244.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,10.0,124.0,12.0,13.0,32.0,19.0,19.0,33.0,10.0,73.0,12.0,5.0,4.0,10.0,,,,,,,,,,,,,378
39,현대벤처빌.현대썬앤빌,6246.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,75.0,11.0,12.0,24.0,16.0,7.0,16.0,7.0,57.0,16.0,14.0,15.0,22.0,9.0,,,,,,,,,,,,304
40,우리은행장안지점앞,6248.0,,,,20.0,39.0,9.0,,,,,,,,,,,,,,,,,,3.0,3.0,69.0,16.0,13.0,22.0,10.0,12.0,31.0,18.0,87.0,48.0,66.0,65.0,136.0,271.0,101.0,,,,,,,,,,,1039
41,장한평역2번출구,6251.0,,,,2.0,21.0,6.0,1.0,,,,,,,,,,,,,,,,,,17.0,55.0,28.0,33.0,36.0,44.0,21.0,76.0,39.0,206.0,198.0,258.0,193.0,429.0,412.0,101.0,14.0,,,,,,,,,,2190
42,청년회의소앞,6156.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,14.0,10.0,12.0,13.0,6.0,3.0,6.0,4.0,24.0,28.0,17.0,26.0,43.0,55.0,26.0,24.0,4.0,,,,,,,,,317
