하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,All
21,현대벤처빌.현대썬앤빌,6246.0,,6.0,3.0,3.0,7.0,3.0,,2.0,2.0,3.0,13.0,15.0,7.0,4.0,6.0,7.0,14.0,9.0,7.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
22,우리은행장안지점앞,6248.0,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,4.0,14.0,9.0,8.0,8.0,5.0,7.0,6.0,7.0,10.0,9.0,12.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
23,장한평역,4003.0,,5.0,1.0,10.0,7.0,4.0,1.0,3.0,,2.0,13.0,13.0,9.0,9.0,14.0,12.0,14.0,33.0,48.0,26.0,66.0,74.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390
24,군자교입구,5002.0,,1.0,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,6.0,16.0,21.0,24.0,11.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
25,능동사거리.군자역,5253.0,,1.0,,,2.0,,,,,2.0,1.0,6.0,2.0,1.0,3.0,2.0,3.0,12.0,28.0,23.0,66.0,92.0,40.0,20.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319
26,능동교회앞,5252.0,,,,1.0,,,,,,,,,,,1.0,,2.0,,5.0,2.0,9.0,9.0,3.0,3.0,1.0,17.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
27,어린이대공원앞.세종대학교,5251.0,,,,,,,,2.0,,,,,,,1.0,,4.0,,7.0,1.0,10.0,7.0,9.0,7.0,3.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
28,어린이대공원역.화양천주교회,5227.0,,,,1.0,,,,,,,2.0,,2.0,,,,4.0,6.0,9.0,1.0,18.0,22.0,8.0,7.0,10.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
29,한아름공원,5228.0,,,,,,,,,1.0,,1.0,6.0,2.0,1.0,,2.0,5.0,8.0,10.0,11.0,19.0,17.0,15.0,5.0,2.0,5.0,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
30,건대입구역사거리.건대병원,5229.0,,,,2.0,2.0,,,,,,2.0,2.0,,1.0,1.0,1.0,8.0,14.0,17.0,18.0,52.0,53.0,18.0,22.0,12.0,21.0,15.0,9.0,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
31,건대입구역1번출구,5230.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,1.0,2.0,1.0,,9.0,4.0,1.0,7.0,1.0,5.0,2.0,9.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
32,서울효사랑병원,4209.0,,,,,,,,,,,1.0,,,,,,1.0,2.0,5.0,2.0,7.0,9.0,4.0,5.0,2.0,11.0,2.0,1.0,5.0,1.0,6.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
33,경수중학교,4190.0,,,,,,,,,,,,1.0,,,,,1.0,2.0,,2.0,5.0,4.0,2.0,5.0,2.0,9.0,1.0,4.0,5.0,2.0,3.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
34,영동대교북단,4189.0,,,,,1.0,1.0,,,,,,,,,,,1.0,3.0,1.0,2.0,5.0,3.0,5.0,5.0,,10.0,1.0,,1.0,1.0,3.0,28.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
35,청담동주민센터,23166.0,,,,,,,,,1.0,1.0,,,,,,,3.0,5.0,6.0,3.0,6.0,15.0,8.0,10.0,4.0,11.0,7.0,1.0,13.0,1.0,6.0,50.0,7.0,15.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
36,청담2치안센터,23183.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,4.0,3.0,1.0,3.0,,4.0,1.0,,6.0,2.0,1.0,12.0,3.0,7.0,13.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
37,청담동성당,23184.0,,,,,1.0,,,,,,,,,,,,,,,1.0,7.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,19.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
38,청담역7번출구,23207.0,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,,,5.0,2.0,2.0,6.0,10.0,15.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
39,센트럴아이파크.강남구도시관리공단,23208.0,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,3.0,,1.0,,,1.0,,5.0,2.0,2.0,2.0,5.0,9.0,8.0,,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
40,한별구립어린이집,23209.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,,4.0,4.0,4.0,6.0,,,2.0,1.0,4.0,,5.0,5.0,1.0,5.0,18.0,17.0,17.0,1.0,73.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
41,포스코사거리,23960.0,,,,,,,,,,,1.0,,,,1.0,,4.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,,1.0,4.0,,7.0,2.0,2.0,4.0,4.0,7.0,17.0,12.0,15.0,5.0,138.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254
42,포스코사거리,23523.0,,,,,,,,,,,,1.0,,1.0,,,2.0,6.0,2.0,6.0,5.0,5.0,1.0,2.0,,1.0,,2.0,4.0,,,1.0,2.0,1.0,5.0,7.0,13.0,6.0,43.0,4.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
43,한국무역센터.삼성역,23251.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,2.0,,,,,,1.0,,2.0,1.0,2.0,17.0,,3.0,11.0,13.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
44,삼성역,23244.0,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,6.0,,2.0,9.0,3.0,5.0,2.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
45,휘문중고등학교,23249.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,2.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,3.0,,1.0,,3.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
46,대치사거리,23250.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,3.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
47,포스코사거리,23202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
48,한별구립어린이집,23203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
49,센트럴아이파크.강남구도시관리공단,23204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,20.0,60.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
50,청담동성당,23174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,13.0,25.0,17.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
51,청담2치안센터,23175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,24.0,11.0,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
52,청담동주민센터,23167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,6.0,4.0,9.0,22.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
53,영동대교북단,5220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,23.0,30.0,14.0,8.0,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
54,노룬산시장,5216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,6.0,5.0,,5.0,13.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
55,건대입구역6번출구,5217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,14.0,12.0,1.0,7.0,14.0,42.0,11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131
56,건대입구(가상),5499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,,,2.0,10.0,5.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
57,건대입구역사거리.건대병원,5232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,7.0,5.0,4.0,1.0,4.0,10.0,4.0,5.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
58,어린이대공원역.화양천주교회,5234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,8.0,6.0,1.0,2.0,7.0,7.0,5.0,14.0,7.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
59,어린이대공원앞,5140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,5.0,4.0,2.0,6.0,3.0,5.0,4.0,4.0,6.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,60
60,능동사거리.군자역,5141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,13.0,3.0,2.0,1.0,10.0,13.0,4.0,11.0,12.0,21.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,111
61,군자교입구,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,11.0,5.0,2.0,3.0,6.0,7.0,2.0,9.0,8.0,13.0,3.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,87
62,장한평역4번출구,6155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,2.0,3.0,4.0,3.0,6.0,11.0,22.0,6.0,4.0,4.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,82
63,장한평역3번출구,6252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,1.0,,1.0,1.0,1.0,1.0,8.0,8.0,9.0,1.0,2.0,2.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,60
64,북한연구소앞,6250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,4.0,,4.0,9.0,2.0,,1.0,7.0,12.0,31.0,,,,,,,,,,,,,,,,,,,,,,,75
65,우리은행장안지점앞,6249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,1.0,2.0,,2.0,2.0,5.0,2.0,12.0,17.0,6.0,2.0,9.0,11.0,21.0,98.0,1.0,,,,,,,,,,,,,,,,,,,,,,197
66,현대벤처빌,6247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0,7.0,15.0,4.0,6.0,4.0,4.0,11.0,3.0,7.0,20.0,57.0,9.0,9.0,26.0,20.0,40.0,180.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,440
67,(구)경남호텔앞,6245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,2.0,2.0,4.0,1.0,9.0,10.0,,17.0,56.0,14.0,5.0,17.0,7.0,40.0,87.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,280
68,장안동삼성쉐르빌아파트,6243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,2.0,,2.0,8.0,1.0,10.0,39.0,6.0,9.0,25.0,14.0,39.0,92.0,4.0,15.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,293
69,새서울병원,6242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,7.0,1.0,2.0,,2.0,5.0,6.0,4.0,6.0,30.0,5.0,7.0,9.0,9.0,35.0,100.0,2.0,12.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,255
70,NH농협장안평지점,6240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,5.0,1.0,1.0,1.0,1.0,3.0,2.0,,7.0,28.0,6.0,1.0,9.0,10.0,30.0,72.0,5.0,8.0,3.0,7.0,3.0,3.0,,,,,,,,,,,,,,,,,209
71,장안동근린공원,6238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,2.0,,,1.0,3.0,,1.0,4.0,11.0,1.0,9.0,5.0,6.0,16.0,32.0,3.0,8.0,8.0,3.0,8.0,3.0,4.0,1.0,,,,,,,,,,,,,,,133
72,장안교은석초등학교,6215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,1.0,,7.0,10.0,5.0,2.0,3.0,4.0,1.0,10.0,5.0,2.0,,,,,,,,,,,,,,,56
73,늘푸른근린공원,7466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,,3.0,,1.0,1.0,,7.0,13.0,7.0,7.0,5.0,11.0,3.0,16.0,14.0,7.0,10.0,,,,,,,,,,,,,,112
74,장안시장,7118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,10.0,9.0,,3.0,5.0,3.0,4.0,3.0,9.0,4.0,4.0,1.0,,,,,,,,,,,,,59
75,면목2동,7116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,6.0,5.0,1.0,4.0,11.0,,3.0,2.0,1.0,,,,,,,,,,,,56
76,중목초등학교,7114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,6.0,5.0,,3.0,5.0,2.0,7.0,6.0,9.0,1.0,4.0,6.0,5.0,,2.0,,,,,,,,,,69
77,상봉2동복합청사.도서관,7112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,2.0,1.0,,,,5.0,7.0,,6.0,3.0,4.0,7.0,11.0,13.0,3.0,7.0,7.0,3.0,2.0,2.0,1.0,,,,,,,,,88
78,상봉역.중랑우체국,7004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,2.0,2.0,,9.0,2.0,5.0,8.0,10.0,16.0,14.0,20.0,20.0,5.0,10.0,21.0,18.0,9.0,8.0,23.0,,,,,,,,,205
79,상봉1동주민센터,7408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,2.0,2.0,,,1.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,,1.0,1.0,5.0,3.0,,3.0,5.0,10.0,,,,,,,,62
80,신내쌍용아파트,7410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,1.0,,,,,5.0,,,,2.0,,1.0,,1.0,,1.0,4.0,2.0,4.0,,,,,,,,25
81,쌍용아파트신내테크노타운앞,7262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,3.0,,1.0,2.0,1.0,4.0,,,2.0,,1.0,2.0,2.0,9.0,,1.0,1.0,,,,,35
82,엘지아파트앞,7264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,1.0,2.0,,,1.0,,,,2.0,3.0,3.0,1.0,2.0,3.0,2.0,,1.0,,,,,28
83,신현중학교,7266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,6.0,4.0,,1.0,3.0,3.0,4.0,2.0,7.0,8.0,1.0,,,2.0,,,,60
84,중랑구청,7268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,1.0,,,,,3.0,2.0,1.0,2.0,2.0,8.0,2.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,6.0,6.0,12.0,6.0,1.0,1.0,3.0,,1.0,,83
85,동성프라자앞,7270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,2.0,,,2.0,,2.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,,1.0,3.0,3.0,1.0,3.0,9.0,4.0,1.0,2.0,3.0,1.0,1.0,,59
86,신내교회.신내데시앙아파트,7302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,,,1.0,3.0,,1.0,,,,1.0,,2.0,6.0,,2.0,1.0,3.0,13.0,6.0,5.0,55
87,중랑공영차고지,7337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,3.0,2.0,2.0,2.0,4.0,,2.0,3.0,,,1.0,,4.0,1.0,1.0,1.0,,,,4.0,8.0,44
88,중랑공영차고지.신내역,7550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,,,5.0,1.0,,2.0,,3.0,10.0,3.0,51
All,,,1.0,52.0,64.0,71.0,126.0,52.0,29.0,28.0,29.0,76.0,213.0,137.0,65.0,60.0,69.0,80.0,90.0,132.0,180.0,140.0,340.0,375.0,163.0,135.0,49.0,135.0,46.0,33.0,78.0,20.0,39.0,171.0,26.0,53.0,115.0,86.0,117.0,15.0,292.0,40.0,38.0,9.0,4.0,24.0,86.0,22.0,108.0,298.0,148.0,69.0,108.0,81.0,185.0,92.0,114.0,147.0,384.0,70.0,75.0,120.0,105.0,305.0,762.0,52.0,101.0,86.0,77.0,74.0,111.0,101.0,35.0,48.0,57.0,42.0,28.0,31.0,57.0,67.0,15.0,6.0,8.0,11.0,17.0,22.0,16.0,8438
