하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,All
33,구의홈마트앞,5714.0,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,1.0,16.0,7.0,9.0,1.0,9.0,36.0,15.0,2.0,,,,,,,,,,,109
34,구의역,5718.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,24.0,8.0,16.0,37.0,4.0,24.0,4.0,50.0,110.0,38.0,1.0,1.0,,,,,,,,,,320
35,광진우체국,5158.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,4.0,3.0,,2.0,,,6.0,2.0,1.0,,1.0,,,,,,,,,21
36,테크노마트.광진문화원,5721.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,19.0,,2.0,1.0,1.0,16.0,9.0,6.0,8.0,5.0,,,,,,,,,77
37,프라임아파트앞,5724.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,,2.0,2.0,25.0,,,,,,,,34
38,현대3.5차아파트,5728.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,8.0,2.0,6.0,7.0,114.0,1.0,,,,,,,141
39,광남고.삼성아파트,5732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,7.0,5.0,94.0,11.0,6.0,,,,,,130
40,광나루역.극동아파트,5168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,5.0,13.0,12.0,96.0,13.0,20.0,2.0,1.0,,,,177
41,광진청소년수련관,5265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,,36.0,,6.0,3.0,1.0,,,,52
42,광나루현대아파트,5740.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,1.0,,8.0,1.0,52.0,4.0,2.0,7.0,6.0,,,,85
43,한강호텔입구,5742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,22.0,,1.0,3.0,5.0,14.0,,,48
44,워커힐팰리스,5744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,3.0,40.0,2.0,3.0,1.0,10.0,44.0,1.0,,113
All,,,330.0,12.0,75.0,41.0,286.0,192.0,198.0,24.0,199.0,59.0,10.0,268.0,39.0,37.0,58.0,43.0,32.0,16.0,9.0,30.0,9.0,5.0,81.0,63.0,66.0,179.0,23.0,57.0,13.0,67.0,187.0,97.0,19.0,61.0,40.0,500.0,39.0,44.0,20.0,40.0,107.0,1.0,9.0,3685
