하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,107,108,109,110,All
22,면목동대원칸타빌아파트,7205,,1,,,1,,3,1,,,1,,9,3,8,4,10,2,12,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
23,용마폭포공원,7207,1,,,,,,1,6,1,2,2,5,1,1,7,6,5,6,29,22,11,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
24,용마산역,7209,,,,,,1,,4,3,2,8,5,2,2,13,19,8,22,70,21,6,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
25,용마산하늘채아파트,7211,,,,,,,,,,2,3,3,4,2,3,2,3,4,6,5,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
26,용암사입구,5131,,,,,,1,2,,3,2,1,3,2,7,6,4,5,5,17,5,3,6,1,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
27,대원고교앞,5134,,,,,,3,1,5,2,1,4,2,4,6,7,3,3,5,10,10,1,3,4,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
28,중곡동종점,5116,,,2,,1,,2,2,1,1,2,,10,4,5,3,1,3,5,3,4,2,1,9,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
29,신성시장앞,5118,1,1,3,,1,1,2,7,3,4,8,3,9,8,16,6,10,8,15,6,4,2,3,26,7,16,17,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199
30,중곡동입구,5260,,1,,,,,,,1,,4,4,7,3,9,3,2,9,10,3,4,3,4,3,7,21,15,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
31,아차산역삼거리,5256,1,,2,,,1,,5,1,4,2,4,6,6,6,4,4,10,20,5,6,2,4,3,6,19,44,57,74,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318
32,용마초등학교,5257,,,,1,,,,1,,1,6,1,4,1,6,2,4,8,9,7,6,1,1,,6,3,16,29,58,15,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
33,중곡2동주민센터앞,5113,,1,,,,,,,,,2,,1,,,3,,1,,1,,,,,,,,1,7,3,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
34,중곡1동사거리,5108,,,,,,,,,,,,2,,,1,,,1,,1,,,,,,,,2,3,2,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
35,중곡1동주민센터입구,5106,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,1,3,2,,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
36,메리놀외방선교회,5103,,,,,,,,,1,,,,1,1,,,,,2,,,,,1,,,4,1,4,2,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
37,KEB.하나은행.군자동.지점,5238,,,,,,,,,,,1,,,1,,,,1,3,,,,,,1,,2,,7,4,,1,3,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
38,군자삼거리,5241,,,,,,1,,,,,,,,,,,2,,6,1,1,,,1,1,,5,2,6,3,2,8,2,4,4,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
39,세종초등학교.세종사이버대학교앞,5243,1,,,,,,2,2,1,,3,1,1,,,,,1,4,,2,,,,1,3,4,4,14,15,9,10,2,5,5,1,45,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
40,군자새마을금고앞,5246,,,,,,1,,,,,1,1,,,1,1,1,,1,,,,,,,3,9,8,13,10,3,11,4,4,2,5,25,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
