하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,All
27,경동시장,6169,1,,,1,8,3,7,4,1,,7,9,26,9,6,38,12,31,22,9,62,14,13,24,25,10,13,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
28,경동시장사거리,6776,,,,,3,2,2,4,2,,5,8,8,1,2,12,3,9,5,3,18,11,10,10,14,11,18,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
29,동대문구청,6017,,,,1,9,1,2,,1,1,3,7,6,2,11,14,2,14,13,9,28,16,22,11,16,21,8,19,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
30,신답초등학교.청계한신휴플러스,6004,,,1,,2,,1,2,1,,,5,4,2,5,11,3,5,6,4,25,13,17,16,8,12,15,22,33,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
31,답십리역사거리,4001,1,,,1,7,5,5,4,3,2,12,13,14,7,11,22,8,22,19,17,43,19,48,35,34,32,40,60,57,47,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623
32,청년회의소.서울새활용플라자,4002,,,,2,4,4,4,2,1,2,6,14,11,9,10,21,14,23,18,19,44,29,34,18,25,22,28,20,42,29,6,39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504
33,장한평역,4003,1,,1,3,4,1,3,3,,2,9,8,6,13,6,26,9,23,14,8,36,22,27,22,23,20,29,33,39,52,5,48,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513
34,군자교입구,5002,2,,,3,1,3,1,1,1,,1,6,1,6,4,18,4,21,12,13,43,15,20,14,20,14,18,33,39,8,4,35,18,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411
35,군자역.용마초등학교,5004,1,,,2,2,,1,,,,,4,4,4,2,16,7,17,9,7,24,16,26,13,7,9,16,28,19,10,7,36,22,40,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362
36,중곡동입구삼거리,5008,1,,,1,,,2,,1,,2,2,3,2,3,8,2,7,6,,9,4,13,8,7,3,5,24,13,15,4,13,10,17,15,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
37,어린이대공원후문아차산역,5007,,,,,3,4,1,,3,,4,6,8,3,2,15,6,13,13,14,20,11,26,11,13,21,11,44,27,9,5,23,19,28,24,42,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448
38,새밭교회,5010,,,,,1,1,,1,3,,1,1,3,2,2,7,3,5,2,2,13,8,10,2,8,6,7,7,7,7,3,18,19,16,20,47,19,76,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370
39,광나루역,5012,1,,,,1,3,1,1,1,2,2,7,18,7,16,21,11,29,24,9,32,18,26,18,18,19,17,51,25,27,3,45,38,35,47,102,58,160,69,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983
40,천호역,25014,1,,4,5,6,9,7,4,11,1,11,13,17,13,6,42,14,46,26,20,50,30,69,34,42,20,33,95,65,33,12,46,43,58,52,79,48,148,74,127,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420
