하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,All
17,동곡삼거리,5262,,,1,1,,3,1,4,9,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
18,중곡1동사거리,5108,,,1,2,1,4,,3,5,3,2,1,1,1,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
19,중곡1동주민센터입구,5106,,,1,,,2,1,1,2,,1,3,,3,7,3,8,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
20,메리놀외방선교회,5103,,,2,1,,,6,2,3,1,,8,3,12,19,3,10,15,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
21,KEB.하나은행.군자동.지점,5238,,,1,,,1,2,1,2,,1,2,1,1,8,2,3,1,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
22,군자삼거리,5241,,,1,,,,2,2,5,1,3,3,3,,4,2,,2,3,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
23,세종초등학교.세종사이버대학교앞,5243,,1,2,1,3,2,1,4,5,2,3,3,,1,1,3,,3,7,5,7,37,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
24,군자새마을금고앞,5246,,,2,2,1,2,1,3,4,2,2,2,3,,2,7,,2,6,8,4,28,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
25,장안초등학교,5248,,,1,1,2,2,1,1,2,1,1,3,2,1,4,2,1,2,10,5,4,20,7,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
26,광진광장,5226,,,2,,,1,1,1,2,,1,1,,2,,1,,4,4,1,3,5,2,15,15,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
27,어린이대공원역.화양천주교회,5227,,,2,1,,,1,3,1,,1,1,3,,2,2,1,2,4,3,1,2,8,23,24,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
28,한아름공원,5228,,,,5,2,2,,,3,1,5,,1,3,6,3,1,3,5,6,2,3,10,21,15,14,15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139
29,건대입구역사거리.건대병원,5229,,,1,3,,1,3,1,4,5,3,1,3,7,10,4,6,14,14,8,7,9,23,68,52,20,39,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345
30,건대입구역1번출구,5230,,,,,1,1,1,2,5,2,1,1,1,2,1,1,,1,3,3,5,6,1,18,11,8,5,8,6,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
31,성수사거리,4257,,,1,4,,3,1,1,3,3,2,3,5,3,4,3,3,5,8,8,11,12,5,12,3,5,6,14,7,13,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
32,성수역1번출구,4240,,2,6,2,,3,,4,4,6,1,3,4,2,5,7,4,4,7,7,10,8,5,21,10,9,22,36,21,15,59,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326
33,뚝섬역4번출구,4239,,1,2,2,,5,2,,1,8,2,1,,1,6,3,2,3,2,6,4,5,5,17,3,6,13,15,11,8,42,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224
34,뚝섬역2번출구,4237,,,,,,,,,,2,1,,,1,,3,1,2,,3,1,5,,9,,3,3,9,3,4,9,13,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
35,성동교남단,4185,,,,,,,,,,2,,1,1,1,,,,,3,2,3,1,,3,1,4,4,5,5,2,19,23,18,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
36,한양대정문앞,4130,,,,,,2,,,1,,,,,,1,1,,2,,1,2,,1,,1,,1,2,,5,10,14,10,16,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
37,서울숲삼부아파트,4137,,,,,,,,,,,,,,1,2,1,1,,2,,,,,,,1,,,3,1,8,9,17,11,7,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
38,왕십리역,4135,,,,,1,,,,,,,1,,,1,,,,,,1,,,2,,1,,4,,6,5,14,16,24,9,20,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
39,무학여고,4132,,,,,,,,,,,,,,1,,,,1,1,2,,1,1,1,,2,1,2,2,6,13,18,28,29,8,15,20,7,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
40,응봉동주민센터,4139,,,,,,,,,,,,,,,,,1,,2,,,,1,2,,,,1,,3,6,10,24,19,3,13,9,8,17,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
41,응봉동현대아파트,4142,,,,,1,,,,,,,,,,,2,,,,,,1,1,,1,,,3,2,2,6,12,20,15,1,7,23,11,17,25,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159
