하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,All
35,대동아파트앞,5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,21,2,7,10,,,,,,,,,,,,,,,,,,,,,,54
36,국민은행신자양지점,5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,13,23,7,3,26,4,,,,,,,,,,,,,,,,,,,,,97
37,노룬산시장앞,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,9,24,7,10,42,1,2,,,,,,,,,,,,,,,,,,,,114
38,성수119안전센터,4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,6,25,5,9,26,,6,,1,,,,,,,,,,,,,,,,,,95
39,경수중학교,4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,13,7,17,26,1,7,1,4,,,,,,,,,,,,,,,,,,101
40,뚝도시장,4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,11,18,5,12,52,1,7,6,11,,,,,,,,,,,,,,,,,,145
41,성원중성수동이마트앞,4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,8,3,7,21,1,5,9,8,1,,,,,,,,,,,,,,,,,79
42,성수공고앞,4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,10,4,3,27,1,9,2,16,1,,,,,,,,,,,,,,,,,86
43,경일초등학교앞,4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,12,2,10,26,,11,8,8,3,5,2,,,,,,,,,,,,,,,94
44,경동초등학교입구,4243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,4,5,1,13,14,11,4,10,2,3,2,,,,,,,,,,,,,74
45,SK테크노빌딩앞,4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,2,2,6,2,5,15,7,1,9,4,1,4,1,,,,,,,,,,,,66
46,성수역1번출구,4240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,3,11,6,8,5,5,6,22,11,,2,,,,,,,,,,86
47,뚝섬역4번출구,4239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,1,1,,4,2,3,2,4,3,9,6,5,,11,,,,,,,,,,55
48,뚝섬역2번출구,4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,4,4,,1,1,,3,2,,11,1,2,,,,,,,,32
49,성동구민종합체육센터,4180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,2,4,,1,,7,,2,4,1,1,2,6,48,20,16,2,,,,,,,121
50,서울숲역3번출구,4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,3,,2,,,1,,33,35,18,6,,,,,,,102
51,뚝도아리수정수센터수도박물관,4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,15,5,12,1,,,,,46
52,천주교성수동성당앞,4174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,1,,13,12,37,10,44,,1,,,,121
53,성수1가1동새마을금고,4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,15,22,36,7,56,1,,,,,141
54,서울숲지구대앞,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,9,15,27,15,71,1,5,1,,,149
55,뚝도시장구길,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,2,2,1,1,,3,2,2,,,,,,,7,14,40,26,60,1,11,2,3,2,190
All,,,59,99,143,107,106,37,116,62,48,78,141,50,98,102,104,94,160,61,67,158,90,69,80,120,59,16,8,13,241,143,231,73,101,287,14,76,78,88,25,36,23,20,38,24,6,157,124,191,71,243,4,17,3,3,2,4664
