하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,All
2,장지역.가든파이브,24015,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
3,문정법조단지.건영아파트,24013,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4,문정로데오거리입구,24011,9,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
5,가락시장.가락시장역,24009,6,22,25,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
6,송파역,24007,1,8,17,18,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
7,석촌역,24005,1,5,20,14,20,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
8,석촌호수.한솔병원,24003,3,9,21,26,29,25,24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
9,잠실역.롯데월드몰,24017,6,32,170,87,144,107,85,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743
10,잠실역.잠실대교남단,24001,1,8,27,8,7,9,2,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
11,잠실대교전망쉼터,24479,3,2,2,1,3,1,1,4,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
12,자양동잠실대교북단,5194,7,22,28,30,34,19,15,28,89,28,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324
13,동서울우편집중국앞,5192,4,17,13,11,17,16,6,11,23,20,,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
14,광진구청,5148,2,9,24,17,24,13,6,20,38,7,,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
15,광진경찰서,5146,1,9,4,7,14,8,5,14,22,9,1,6,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
16,구의사거리,5154,1,6,2,4,6,3,2,8,23,8,,3,4,20,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
17,구의2동주민센터입구,5152,1,4,7,6,13,2,2,9,25,5,,9,7,28,26,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
18,어린이대공원후문,5258,1,3,3,7,20,8,4,13,34,24,1,22,11,69,63,47,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339
19,중곡동입구,5139,3,7,7,9,12,3,7,11,37,19,1,14,3,46,27,18,7,67,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316
20,신성시장,5138,2,6,4,10,13,6,8,12,44,16,,12,5,29,17,12,6,121,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367
21,중곡동종점,5137,1,9,2,10,13,7,6,2,21,7,2,15,4,22,13,17,8,104,32,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311
22,대원고교앞,5136,,4,4,1,3,2,,4,10,4,1,2,6,8,10,3,4,36,20,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
23,용암사입구,5135,1,5,8,3,6,2,2,2,8,9,,3,4,11,8,4,6,28,33,35,5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194
24,용마산하늘채아파트,7210,1,8,1,7,8,8,4,4,14,7,,3,3,8,8,5,3,13,9,39,12,15,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189
25,용마산역,7208,1,4,1,7,4,4,4,5,11,2,2,6,7,12,8,8,5,7,15,34,11,11,15,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199
26,용마폭포공원,7206,,5,3,2,4,5,1,5,9,3,,2,1,5,2,1,1,10,10,9,7,8,5,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
27,면목동금호어울림아파트,7204,2,3,,2,5,1,2,1,5,4,,2,2,5,2,,1,14,6,15,3,9,4,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
28,한양수자인사가정파크,7201,,6,1,6,1,,3,5,13,4,,4,2,9,6,7,3,18,10,7,5,9,11,10,20,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167
29,면중초등학교,7199,4,5,1,7,6,4,2,4,12,,,9,1,9,6,6,1,11,4,10,9,6,3,9,24,3,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
30,중화중학교.면목고등학교,7197,,7,6,7,13,6,1,2,15,9,,4,7,9,2,3,3,47,19,16,5,8,8,14,42,4,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272
