하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,All
31,중화중학교삼거리,7436,5,21,5,6,11,14,10,17,37,13,3,21,12,23,25,19,10,132,31,22,8,8,11,14,42,7,8,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547
32,면목본동파출소,7314,3,8,3,8,8,3,3,8,10,7,1,2,3,6,3,5,2,20,6,10,6,2,1,5,4,1,3,2,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
33,동원시장,7312,1,8,3,4,9,5,2,11,13,5,,6,5,7,10,4,4,18,6,12,3,3,2,5,19,5,1,3,10,9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196
34,망우3동주민센터.혜원여중고후문,7310,3,2,1,10,9,1,2,8,17,7,1,4,1,7,6,4,5,17,2,7,7,4,4,5,12,6,2,2,10,6,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
35,상봉신협,7157,2,1,,4,7,2,3,6,11,1,,2,2,4,3,7,5,12,5,9,4,4,3,7,4,4,3,13,10,10,14,13,8,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
36,면목6거리,7155,,2,,2,3,1,1,1,3,1,1,2,4,,1,,3,3,2,9,4,,2,,1,1,,3,7,5,13,10,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
37,서울창업카페상봉점,7153,,2,,1,3,,1,4,1,1,,,1,1,,,1,2,,3,1,2,4,3,1,1,,3,7,3,7,,4,7,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
38,면목2동주민센터,7113,,,,,4,1,,1,5,2,,1,3,4,,1,3,6,1,3,4,,1,,6,2,,,8,7,12,2,4,15,19,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
39,면목2동,7115,,,,,,1,,1,1,1,,1,1,,4,,,2,,,1,1,,,,,,1,5,,,3,,4,6,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
40,동서그랜드맨션,7223,,,,1,,,,1,3,,,,,,1,,1,1,,2,,,3,1,,1,,1,5,2,,,,7,7,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
41,면목5동,7221,,2,,,,,,1,1,1,,2,,,,1,,,2,,,,1,,,,,,3,,1,,,1,3,4,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
42,면목2동한신아파트,7218,,,,1,1,1,,,1,1,,,,1,,,1,2,1,1,,2,2,,1,1,1,1,,2,1,,,1,8,4,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
43,신성은하수아파트,7216,,,,1,,,1,,4,2,,1,,2,,2,,1,2,5,,,1,,,,4,2,3,,1,,,1,,6,,3,2,9,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
44,서울우유앞,7145,2,,,2,,3,,1,1,2,,1,,2,,1,1,4,,5,1,,3,,,2,,1,3,1,2,2,1,2,3,1,2,1,5,15,9,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
45,중랑역.동부시장1,7125,2,,1,2,5,1,,,2,1,,1,1,2,,,,6,1,4,,1,1,1,,,,,1,1,4,3,3,4,1,3,1,5,5,13,19,29,14,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
46,상봉역.중랑우체국,7004,,,,1,,,,2,,1,,1,1,,,,2,,,1,,,,,,,,2,2,,1,,,3,,,,1,1,2,13,44,15,31,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
47,상봉1동주민센터,7408,,,,,1,,,1,,,,,,,1,1,,1,,,,,1,,,,,,,,3,,3,1,,,,,,1,1,3,,7,20,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
48,신내쌍용아파트,7410,,,,1,1,,,,,,,,,,,,,,,,,2,,,,1,,1,,,1,,,1,1,,,,,,,,2,1,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
49,쌍용아파트신내테크노타운앞,7262,1,1,,1,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,3,3,5,7,22,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
50,엘지아파트앞,7264,1,,,1,,1,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,,1,1,1,,6,17,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
51,신현중학교,7266,,,,,3,,1,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,1,,1,2,,,1,1,3,2,7,7,5,27,18,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
52,중랑구청,7268,,2,,1,2,1,,1,,2,,,,1,,,,,1,1,,1,,,,,,1,,,3,,2,3,,1,1,1,3,3,4,4,8,9,26,39,6,1,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
53,중랑구청사거리,7273,1,1,,,1,,,,,,,2,,1,,,,,1,1,,,,,,,,1,,,,,2,,,,,,,1,5,3,3,,13,8,8,,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
54,성원아파트경남아너스빌앞,7271,,,,1,,,,,2,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,1,,,,,,,,1,2,4,2,3,1,5,2,3,21,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
55,국민은행망우동지점,7129,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,2,,,,2,4,3,1,7,15,9,18,26,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
56,망우지구대,7135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,2,1,2,2,13,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
57,상봉터미널,7309,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,2,,3,4,,20,21,7,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
58,망우3동주민센터.혜원여중고후문,7311,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,2,1,4,3,1,15,17,21,19,20,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
59,동원시장,7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,5,1,5,,2,6,17,6,14,14,39,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
60,면목본동파출소,7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,1,,2,10,2,6,12,46,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
61,중화중학교.다문화가족지원센터,7198,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,1,2,1,5,,,7,4,5,11,17,41,9,12,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
62,면중초등학교,7200,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,1,,1,8,6,3,10,13,40,7,17,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,130
63,면목동금호어울림아파트,7203,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,1,4,,8,4,22,3,5,8,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,73
64,면목동대원칸타빌아파트,7205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,5,9,1,5,,11,5,5,3,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,64
65,용마폭포공원,7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,3,2,1,,,4,7,7,6,6,14,16,9,11,48,27,17,13,1,,,,,,,,,,,,,,,,,,,,,,,,194
66,용마산역,7209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,1,1,3,9,2,10,5,24,33,15,26,86,25,19,14,5,2,,,,,,,,,,,,,,,,,,,,,,,284
67,용마산하늘채아파트,7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,6,1,3,5,7,3,7,6,19,9,8,1,2,8,3,,,,,,,,,,,,,,,,,,,,,,94
68,용암사입구,5131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,1,,,2,4,1,9,12,9,5,4,6,11,4,5,3,4,9,5,1,,,,,,,,,,,,,,,,,,,,,101
69,대원고교앞,5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,3,2,3,6,12,4,3,4,12,12,3,2,2,4,10,8,3,,,,,,,,,,,,,,,,,,,,97
70,중곡동종점,5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,3,3,7,6,12,2,8,3,13,6,3,1,7,35,7,11,4,4,,,,,,,,,,,,,,,,,,,139
71,신성시장앞,5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3,1,2,1,1,,,4,4,4,7,15,11,4,4,5,16,5,4,6,1,46,11,23,12,9,9,,,,,,,,,,,,,,,,,,211
72,중곡동입구,5260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,3,,6,6,7,12,4,17,12,8,20,46,10,8,5,5,14,21,26,58,79,86,5,,,,,,,,,,,,,,,,,463
73,어린이대공원후문아차산역,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,2,4,2,,2,1,7,26,19,18,15,35,29,25,71,106,10,19,8,14,14,21,47,95,104,103,7,4,,,,,,,,,,,,,,,,812
74,구의2동주민센터입구,5151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,5,4,2,3,7,2,11,8,11,3,4,6,1,2,4,7,10,12,18,3,48,3,,,,,,,,,,,,,,,178
75,구의사거리,5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,2,,,1,,1,1,,5,6,10,7,10,2,7,11,11,5,4,1,5,4,5,7,5,9,19,12,70,15,1,,,,,,,,,,,,,,239
76,광진경찰서,5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,5,5,2,4,10,3,8,4,11,2,2,1,5,7,6,11,4,10,47,13,67,26,9,4,,,,,,,,,,,,,271
77,광진구청,5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,2,,1,2,1,4,8,13,11,11,8,7,4,15,15,8,3,1,4,8,5,9,11,10,32,16,73,19,18,19,4,,,,,,,,,,,,346
78,자양동잠실대교북단,5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,2,1,,,1,,1,1,6,1,3,2,6,6,9,6,9,4,4,4,1,,3,5,9,11,13,5,44,6,4,17,8,3,,,,,,,,,,,198
79,잠실대교전망쉼터,24480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,1,4,2,2,2,3,5,9,3,1,,,1,,1,6,8,10,6,10,6,6,6,11,31,1,,,,,,,,,,141
80,잠실역.잠실대교남단,24002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,2,,1,4,1,2,,14,16,15,10,4,23,17,12,32,44,15,12,3,5,4,12,8,23,31,57,22,73,39,30,50,26,92,,6,,,,,,,,,710
81,석촌호수.한솔병원,24004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,2,,1,,,2,1,4,5,6,5,9,8,8,23,13,5,6,1,2,1,3,3,7,12,13,7,12,17,11,18,28,26,1,48,1,,,,,,,,314
82,석촌역,24006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,3,2,,1,1,3,3,4,5,6,,3,1,2,8,2,1,10,4,6,1,13,13,4,12,16,8,2,31,3,,,,,,,,171
83,송파역,24008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,3,,,1,,,,2,4,2,5,,7,2,6,2,8,,4,1,1,5,2,1,6,6,7,4,12,6,4,11,13,21,1,40,9,12,1,,,,,,211
84,가락시장.가락시장역,24010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,1,,2,1,2,1,8,12,2,4,1,5,12,6,6,12,12,3,,2,2,5,2,1,9,13,7,19,13,4,13,21,35,3,52,14,22,20,2,,,,,354
85,문정로데오거리입구,24012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,3,1,1,3,1,2,,7,9,3,4,2,4,9,4,3,7,6,,1,1,2,7,4,5,1,7,2,8,3,2,8,17,8,1,44,16,25,16,17,,,,,267
86,문정법조단지.건영아파트,24014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,2,1,2,9,2,3,2,5,5,1,5,9,1,4,,2,1,5,1,5,1,10,1,14,1,,15,8,25,,50,26,26,11,18,2,,,,277
87,장지역.가든파이브,24016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,3,3,4,4,2,4,3,1,4,9,2,4,1,3,1,3,4,7,3,7,2,8,2,4,5,6,15,,24,4,9,6,13,3,2,1,,178
88,복정역환승주차장,24658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,,2,1,,3,2,1,5,1,2,3,1,,1,1,,,1,3,,2,,,1,,4,2,8,,13,7,6,2,4,8,7,7,1,105
All,,,99,298,427,368,521,302,219,391,589,238,18,212,107,379,260,198,94,712,275,299,103,105,92,87,264,45,33,51,93,48,69,40,39,72,70,34,16,25,25,56,69,118,65,102,201,173,69,30,64,50,35,191,295,168,229,209,489,232,215,307,561,186,143,75,76,178,140,181,284,323,459,113,475,170,97,182,160,272,9,308,80,100,56,54,13,9,8,1,15397
